Name	Set	ImageFile	SetID	Type	Trait	Cost	T.Cost	ATK	DEF	Dogma	Rarity	Cardtext	Script
Elf 1	NEUTRAL	Elf 1	Elf 1	SPIRIT	Elf	[1]	1	4	4	Neutral			
Elf 2	NEUTRAL	Elf 2	Elf 2	SPIRIT	Elf	[1]	1	2	6	Neutral			
Elf 3	NEUTRAL	Elf 3	Elf 3	SPIRIT	Elf	[2]	2	7	5	Neutral			
Elf 4	NEUTRAL	Elf 4	Elf 4	SPIRIT	Elf	[2]	2	5	7	Neutral			
Elf 5	NEUTRAL	Elf 5	Elf 5	SPIRIT	Elf	[3]	3	7	8	Neutral			
Elf 6	NEUTRAL	Elf 6	Elf 6	SPIRIT	Elf	[3]	3	9	6	Neutral			
Elf 7	NEUTRAL	Elf 7	Elf 7	SPIRIT	Elf	[4]	4	10	10	Neutral			
Elf 8	NEUTRAL	Elf 8	Elf 8	SPIRIT	Elf	[4]	4	8	12	Neutral			
Elf 9	NEUTRAL	Elf 9	Elf 9	SPIRIT	Elf	[5]	5	12	12	Neutral			
Elf 10	NEUTRAL	Elf 10	Elf 10	SPIRIT	Elf	[1]	1	6	2	Neutral			
Inoe	SCIENCE	S-01	S-01	Esper	Human/Mechanical	0	0	0	0	Science	ER	Basic Ability: [Once per turn, during your turn] Expel 3 mechanical cards in your Elysium : put a Helper Droid on the field | [20 cards in your expel zone] : [Once per turn] pay [S][S] : target spirit gains Immunity	
Mechanic Dog	SCIENCE	S-02	S-02	Spirit	Mechanical	[S]	1	5	3	Science	C		
Amateur Alchemist	SCIENCE	S-03	S-03	Spirit	Human	[S]	1	4	4	Science	C	When this card is put into Elysium-> put a Flask of Opportunity to the field	
Sword Droid	SCIENCE	S-04	S-04	Spirit	Mechanical	[S][S]	2	7	5	Science	U	Exhaust this card and Shield Droid, sacrifice this card and Shield Droid : Put a Guardian Droid to the field. You can choose the position.	
Shield Droid	SCIENCE	S-05	S-05	Spirit	Mechanical	[S][S]	2	5	7	Science	U	Exhaust this card and Sword Droid, Sacrifice this card and Sword Droid : Put a Guardian Droid to the field. You can choose the position.	
Lena, the Android Warrior	SCIENCE	S-06	S-06	Spirit	Human/Mechanical	[S][S][S]	3	7	7	Science	SR	[Once per turn]Sacrifice a Helper Droid : this card gains +1/+1 | [Spirit Link] Mechanical Esper, [S][S][S][S] : put 2 Helper Droid to the field, then transform this card	
